Country Name,Country Code,2022 Mobile cellular subscriptions,Cell Indicator Name
"Egypt, Arab Rep.",EGY,103449734,Mobile cellular subscriptions
Euro area,EMU,424057862,Mobile cellular subscriptions
Eritrea,ERI,,Mobile cellular subscriptions
Spain,ESP,59019998,Mobile cellular subscriptions
Estonia,EST,2055794,Mobile cellular subscriptions
Ethiopia,ETH,69123028,Mobile cellular subscriptions
European Union,EUU,552315605,Mobile cellular subscriptions
Fragile and conflict affected situations,FCS,676998098,Mobile cellular subscriptions
Finland,FIN,7130000,Mobile cellular subscriptions
Fiji,FJI,,Mobile cellular subscriptions
France,FRA,76807000,Mobile cellular subscriptions
Faroe Islands,FRO,,Mobile cellular subscriptions
"Micronesia, Fed. Sts.",FSM,,Mobile cellular subscriptions
Gabon,GAB,2995487,Mobile cellular subscriptions
United Kingdom,GBR,81563700,Mobile cellular subscriptions
Georgia,GEO,5844482,Mobile cellular subscriptions
Ghana,GHA,40045308,Mobile cellular subscriptions
Gibraltar,GIB,36708,Mobile cellular subscriptions
Guinea,GIN,,Mobile cellular subscriptions
"Gambia, The",GMB,,Mobile cellular subscriptions
Guinea-Bissau,GNB,2651591,Mobile cellular subscriptions
Equatorial Guinea,GNQ,893441,Mobile cellular subscriptions
Greece,GRC,11326179,Mobile cellular subscriptions
Grenada,GRD,,Mobile cellular subscriptions
Greenland,GRL,,Mobile cellular subscriptions
Guatemala,GTM,20552979,Mobile cellular subscriptions
Guam,GUM,,Mobile cellular subscriptions
Guyana,GUY,,Mobile cellular subscriptions
High income,HIC,1834460164,Mobile cellular subscriptions
"Hong Kong SAR, China",HKG,21860771,Mobile cellular subscriptions
Honduras,HND,7937385,Mobile cellular subscriptions
Heavily indebted poor countries (HIPC),HPC,550042811,Mobile cellular subscriptions
Croatia,HRV,4480469,Mobile cellular subscriptions
Haiti,HTI,,Mobile cellular subscriptions
Hungary,HUN,10371597,Mobile cellular subscriptions
IBRD only,IBD,5508645881,Mobile cellular subscriptions
IDA & IBRD total,IBT,6889075559,Mobile cellular subscriptions
IDA total,IDA,1380429678,Mobile cellular subscriptions
IDA blend,IDB,557481973,Mobile cellular subscriptions
Indonesia,IDN,316552572,Mobile cellular subscriptions
IDA only,IDX,822947705,Mobile cellular subscriptions
Isle of Man,IMN,,Mobile cellular subscriptions
India,IND,1142930000,Mobile cellular subscriptions
Not classified,INX,,Mobile cellular subscriptions
Ireland,IRL,5690017,Mobile cellular subscriptions
"Iran, Islamic Rep.",IRN,145667536,Mobile cellular subscriptions
Iraq,IRQ,43688180,Mobile cellular subscriptions
Iceland,ISL,456864,Mobile cellular subscriptions
Israel,ISR,13758317,Mobile cellular subscriptions
Italy,ITA,78502853,Mobile cellular subscriptions
Jamaica,JAM,3002736,Mobile cellular subscriptions
Jordan,JOR,7625635,Mobile cellular subscriptions
Japan,JPN,207647788,Mobile cellular subscriptions
Kazakhstan,KAZ,25299000,Mobile cellular subscriptions
Kenya,KEN,65737164,Mobile cellular subscriptions
Kyrgyz Republic,KGZ,,Mobile cellular subscriptions
Cambodia,KHM,19505294,Mobile cellular subscriptions
Kiribati,KIR,64076,Mobile cellular subscriptions
St. Kitts and Nevis,KNA,,Mobile cellular subscriptions
"Korea, Rep.",KOR,76992107,Mobile cellular subscriptions
Kuwait,KWT,7726449,Mobile cellular subscriptions
Latin America & Caribbean (excluding high income),LAC,619206648,Mobile cellular subscriptions
Lao PDR,LAO,,Mobile cellular subscriptions
Lebanon,LBN,,Mobile cellular subscriptions
Liberia,LBR,,Mobile cellular subscriptions
Libya,LBY,13940000,Mobile cellular subscriptions
St. Lucia,LCA,,Mobile cellular subscriptions
Latin America & Caribbean,LCN,681825422,Mobile cellular subscriptions
Least developed countries: UN classification,LDC,718332324,Mobile cellular subscriptions
Low income,LIC,311394076,Mobile cellular subscriptions
Liechtenstein,LIE,49662,Mobile cellular subscriptions
Sri Lanka,LKA,31237303,Mobile cellular subscriptions
Lower middle income,LMC,2723383291,Mobile cellular subscriptions
Low & middle income,LMY,6508995583,Mobile cellular subscriptions
Lesotho,LSO,1556844,Mobile cellular subscriptions
Late-demographic dividend,LTE,2987085221,Mobile cellular subscriptions
Lithuania,LTU,3826338,Mobile cellular subscriptions
Luxembourg,LUX,,Mobile cellular subscriptions
Latvia,LVA,2167034,Mobile cellular subscriptions
"Macao SAR, China",MAC,1213216,Mobile cellular subscriptions
St. Martin (French part),MAF,,Mobile cellular subscriptions
Morocco,MAR,52958744,Mobile cellular subscriptions
Monaco,MCO,38955,Mobile cellular subscriptions
Moldova,MDA,4170329,Mobile cellular subscriptions
Madagascar,MDG,20782900,Mobile cellular subscriptions
Maldives,MDV,715188,Mobile cellular subscriptions
Middle East & North Africa,MEA,541231179,Mobile cellular subscriptions
Mexico,MEX,127871590,Mobile cellular subscriptions
Marshall Islands,MHL,,Mobile cellular subscriptions
Middle income,MIC,6197601507,Mobile cellular subscriptions
North Macedonia,MKD,2048236,Mobile cellular subscriptions
Mali,MLI,25869010,Mobile cellular subscriptions
Malta,MLT,701762,Mobile cellular subscriptions
Myanmar,MMR,57807409,Mobile cellular subscriptions
Middle East & North Africa (excluding high income),MNA,437226852,Mobile cellular subscriptions
Montenegro,MNE,1274031,Mobile cellular subscriptions
Mongolia,MNG,4835520,Mobile cellular subscriptions
Northern Mariana Islands,MNP,,Mobile cellular subscriptions
Mozambique,MOZ,13870798,Mobile cellular subscriptions
Mauritania,MRT,5357540,Mobile cellular subscriptions
Mauritius,MUS,2096800,Mobile cellular subscriptions
Malawi,MWI,12269158,Mobile cellular subscriptions
Malaysia,MYS,47952100,Mobile cellular subscriptions
North America,NAC,407764123,Mobile cellular subscriptions
Namibia,NAM,2905781,Mobile cellular subscriptions
New Caledonia,NCL,,Mobile cellular subscriptions
Niger,NER,,Mobile cellular subscriptions
Nigeria,NGA,222225300,Mobile cellular subscriptions
Nicaragua,NIC,,Mobile cellular subscriptions
Netherlands,NLD,20737000,Mobile cellular subscriptions
Norway,NOR,6014642,Mobile cellular subscriptions
Nepal,NPL,,Mobile cellular subscriptions
Nauru,NRU,,Mobile cellular subscriptions
New Zealand,NZL,5947000,Mobile cellular subscriptions
OECD members,OED,1686442871,Mobile cellular subscriptions
Oman,OMN,6749535,Mobile cellular subscriptions
Other small states,OSS,17444565,Mobile cellular subscriptions
Pakistan,PAK,192779544,Mobile cellular subscriptions
Panama,PAN,6890901,Mobile cellular subscriptions
Peru,PER,41549487,Mobile cellular subscriptions
Philippines,PHL,166454458,Mobile cellular subscriptions
Palau,PLW,24000,Mobile cellular subscriptions
Papua New Guinea,PNG,,Mobile cellular subscriptions
Poland,POL,52589287,Mobile cellular subscriptions
Pre-demographic dividend,PRE,783016469,Mobile cellular subscriptions
Puerto Rico,PRI,3896159,Mobile cellular subscriptions
"Korea, Dem. People's Rep.",PRK,,Mobile cellular subscriptions
Portugal,PRT,12792302,Mobile cellular subscriptions
Paraguay,PRY,8659347,Mobile cellular subscriptions
West Bank and Gaza,PSE,4387756,Mobile cellular subscriptions
Pacific island small states,PSS,,Mobile cellular subscriptions
Post-demographic dividend,PST,1387389534,Mobile cellular subscriptions
French Polynesia,PYF,327667,Mobile cellular subscriptions
Qatar,QAT,4692966,Mobile cellular subscriptions
Romania,ROU,23219000,Mobile cellular subscriptions
Russian Federation,RUS,245266945,Mobile cellular subscriptions
Rwanda,RWA,11002078,Mobile cellular subscriptions
South Asia,SAS,1548602577,Mobile cellular subscriptions
Saudi Arabia,SAU,48197996,Mobile cellular subscriptions
Sudan,SDN,34671259,Mobile cellular subscriptions
Senegal,SEN,20854830,Mobile cellular subscriptions
Singapore,SGP,9350700,Mobile cellular subscriptions
Solomon Islands,SLB,,Mobile cellular subscriptions
Sierra Leone,SLE,,Mobile cellular subscriptions
El Salvador,SLV,11508619,Mobile cellular subscriptions
San Marino,SMR,41000,Mobile cellular subscriptions
Somalia,SOM,8844000,Mobile cellular subscriptions
Serbia,SRB,8621147,Mobile cellular subscriptions
Sub-Saharan Africa (excluding high income),SSA,988735292,Mobile cellular subscriptions
South Sudan,SSD,3276146,Mobile cellular subscriptions
Sub-Saharan Africa,SSF,988940432,Mobile cellular subscriptions
Small states,SST,19683213,Mobile cellular subscriptions
Sao Tome and Principe,STP,197318,Mobile cellular subscriptions
Suriname,SUR,928840,Mobile cellular subscriptions
Slovak Republic,SVK,7445151,Mobile cellular subscriptions
Slovenia,SVN,2674900,Mobile cellular subscriptions
Sweden,SWE,13194189,Mobile cellular subscriptions
Eswatini,SWZ,1468083,Mobile cellular subscriptions
Sint Maarten (Dutch part),SXM,,Mobile cellular subscriptions
Seychelles,SYC,205140,Mobile cellular subscriptions
Syrian Arab Republic,SYR,,Mobile cellular subscriptions
Turks and Caicos Islands,TCA,,Mobile cellular subscriptions
Chad,TCD,12086643,Mobile cellular subscriptions
East Asia & Pacific (IDA & IBRD countries),TEA,2659505463,Mobile cellular subscriptions
Europe & Central Asia (IDA & IBRD countries),TEC,589262813,Mobile cellular subscriptions
Togo,TGO,6564132,Mobile cellular subscriptions
Thailand,THA,126414000,Mobile cellular subscriptions
Tajikistan,TJK,,Mobile cellular subscriptions
Turkmenistan,TKM,,Mobile cellular subscriptions
Latin America & the Caribbean (IDA & IBRD countries),TLA,669925178,Mobile cellular subscriptions
Timor-Leste,TLS,1481007,Mobile cellular subscriptions
Middle East & North Africa (IDA & IBRD countries),TMN,432839096,Mobile cellular subscriptions
Tonga,TON,,Mobile cellular subscriptions
South Asia (IDA & IBRD),TSA,1548602577,Mobile cellular subscriptions
Sub-Saharan Africa (IDA & IBRD countries),TSS,988940432,Mobile cellular subscriptions
Trinidad and Tobago,TTO,1999029,Mobile cellular subscriptions
Tunisia,TUN,15971243,Mobile cellular subscriptions
Turkiye,TUR,90297565,Mobile cellular subscriptions
Tuvalu,TUV,,Mobile cellular subscriptions
Tanzania,TZA,60192331,Mobile cellular subscriptions
Uganda,UGA,33068233,Mobile cellular subscriptions
Ukraine,UKR,49304301,Mobile cellular subscriptions
Upper middle income,UMC,3474218216,Mobile cellular subscriptions
Uruguay,URY,4741473,Mobile cellular subscriptions
United States,USA,372682000,Mobile cellular subscriptions
Uzbekistan,UZB,35690069,Mobile cellular subscriptions
St. Vincent and the Grenadines,VCT,104428,Mobile cellular subscriptions
"Venezuela, RB",VEN,17948623,Mobile cellular subscriptions
British Virgin Islands,VGB,,Mobile cellular subscriptions
Virgin Islands (U.S.),VIR,,Mobile cellular subscriptions
Viet Nam,VNM,137412198,Mobile cellular subscriptions
Vanuatu,VUT,255509,Mobile cellular subscriptions
World,WLD,8361404370,Mobile cellular subscriptions
Samoa,WSM,134320,Mobile cellular subscriptions
Kosovo,XKX,,Mobile cellular subscriptions
"Yemen, Rep.",YEM,,Mobile cellular subscriptions
South Africa,ZAF,100259890,Mobile cellular subscriptions
Zambia,ZMB,19838000,Mobile cellular subscriptions
Zimbabwe,ZWE,14300790,Mobile cellular subscriptions
