Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
"Population, total",SP.POP.TOTL,Chad,TCD,18278568
"Population, total",SP.POP.TOTL,Channel Islands,CHI,175346
"Population, total",SP.POP.TOTL,Chile,CHL,19629590
"Population, total",SP.POP.TOTL,China,CHN,1410710000
"Population, total",SP.POP.TOTL,Colombia,COL,52085168
"Population, total",SP.POP.TOTL,Comoros,COM,852075
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,102262808
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,6106869
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5212173
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,28873034
"Population, total",SP.POP.TOTL,Croatia,HRV,3853200
"Population, total",SP.POP.TOTL,Cuba,CUB,11194449
"Population, total",SP.POP.TOTL,Curacao,CUW,147862
"Population, total",SP.POP.TOTL,Cyprus,CYP,1260138
"Population, total",SP.POP.TOTL,Czechia,CZE,10873689
"Population, total",SP.POP.TOTL,Denmark,DNK,5946952
"Population, total",SP.POP.TOTL,Djibouti,DJI,1136455
"Population, total",SP.POP.TOTL,Dominica,DMA,73040
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,11332972
"Population, total",SP.POP.TOTL,Ecuador,ECU,18190484
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,112716598
"Population, total",SP.POP.TOTL,El Salvador,SLV,6364943
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1714671
"Population, total",SP.POP.TOTL,Eritrea,ERI,3748901
"Population, total",SP.POP.TOTL,Estonia,EST,1366188
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1210822
"Population, total",SP.POP.TOTL,Ethiopia,ETH,126527060
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,53270
"Population, total",SP.POP.TOTL,Fiji,FJI,936375
"Population, total",SP.POP.TOTL,Finland,FIN,5584264
"Population, total",SP.POP.TOTL,France,FRA,68170228
"Population, total",SP.POP.TOTL,French Polynesia,PYF,308872
"Population, total",SP.POP.TOTL,Gabon,GAB,2436566
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2773168
"Population, total",SP.POP.TOTL,Georgia,GEO,3760365
"Population, total",SP.POP.TOTL,Germany,DEU,84482267
"Population, total",SP.POP.TOTL,Ghana,GHA,34121985
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32688
"Population, total",SP.POP.TOTL,Greece,GRC,10361295
"Population, total",SP.POP.TOTL,Greenland,GRL,56865
"Population, total",SP.POP.TOTL,Grenada,GRD,126183
"Population, total",SP.POP.TOTL,Guam,GUM,172952
"Population, total",SP.POP.TOTL,Guatemala,GTM,17602431
"Population, total",SP.POP.TOTL,Guinea,GIN,14190612
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,2150842
"Population, total",SP.POP.TOTL,Guyana,GUY,813834
"Population, total",SP.POP.TOTL,Haiti,HTI,11724763
"Population, total",SP.POP.TOTL,Honduras,HND,10593798
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7536100
"Population, total",SP.POP.TOTL,Hungary,HUN,9589872
"Population, total",SP.POP.TOTL,Iceland,ISL,393600
"Population, total",SP.POP.TOTL,India,IND,1428627663
"Population, total",SP.POP.TOTL,Indonesia,IDN,277534122
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,89172767
"Population, total",SP.POP.TOTL,Iraq,IRQ,45504560
"Population, total",SP.POP.TOTL,Ireland,IRL,5262382
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84710
"Population, total",SP.POP.TOTL,Israel,ISR,9756700
"Population, total",SP.POP.TOTL,Italy,ITA,58761146
"Population, total",SP.POP.TOTL,Jamaica,JAM,2825544
"Population, total",SP.POP.TOTL,Japan,JPN,124516650
"Population, total",SP.POP.TOTL,Jordan,JOR,11337052
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,19900177
"Population, total",SP.POP.TOTL,Kenya,KEN,55100586
"Population, total",SP.POP.TOTL,Kiribati,KIR,133515
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,26160821
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51712619
"Population, total",SP.POP.TOTL,Kosovo,XKX,1756374
"Population, total",SP.POP.TOTL,Kuwait,KWT,4310108
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,7100800
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7633779
"Population, total",SP.POP.TOTL,Latvia,LVA,1881750
"Population, total",SP.POP.TOTL,Lebanon,LBN,5353930
"Population, total",SP.POP.TOTL,Lesotho,LSO,2330318
"Population, total",SP.POP.TOTL,Liberia,LBR,5418377
"Population, total",SP.POP.TOTL,Libya,LBY,6888388
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,39584
"Population, total",SP.POP.TOTL,Lithuania,LTU,2871897
"Population, total",SP.POP.TOTL,Luxembourg,LUX,668606
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,704149
"Population, total",SP.POP.TOTL,Madagascar,MDG,30325732
"Population, total",SP.POP.TOTL,Malawi,MWI,20931751
"Population, total",SP.POP.TOTL,Malaysia,MYS,34308525
"Population, total",SP.POP.TOTL,Maldives,MDV,521021
"Population, total",SP.POP.TOTL,Mali,MLI,23293698
"Population, total",SP.POP.TOTL,Malta,MLT,553214
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,41996
"Population, total",SP.POP.TOTL,Mauritania,MRT,4862989
"Population, total",SP.POP.TOTL,Mauritius,MUS,1261041
"Population, total",SP.POP.TOTL,Mexico,MEX,128455567
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,115224
"Population, total",SP.POP.TOTL,Moldova,MDA,2486891
"Population, total",SP.POP.TOTL,Monaco,MCO,36297
"Population, total",SP.POP.TOTL,Mongolia,MNG,3447157
"Population, total",SP.POP.TOTL,Montenegro,MNE,616177
"Population, total",SP.POP.TOTL,Morocco,MAR,37840044
"Population, total",SP.POP.TOTL,Mozambique,MOZ,33897354
"Population, total",SP.POP.TOTL,Myanmar,MMR,54577997
"Population, total",SP.POP.TOTL,Namibia,NAM,2604172
"Population, total",SP.POP.TOTL,Nauru,NRU,12780
"Population, total",SP.POP.TOTL,Nepal,NPL,30896590
"Population, total",SP.POP.TOTL,Netherlands,NLD,17879488
"Population, total",SP.POP.TOTL,New Caledonia,NCL,267940
"Population, total",SP.POP.TOTL,New Zealand,NZL,5223100
"Population, total",SP.POP.TOTL,Nicaragua,NIC,7046310
"Population, total",SP.POP.TOTL,Niger,NER,27202843
"Population, total",SP.POP.TOTL,Nigeria,NGA,223804632
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1811980
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,49796
"Population, total",SP.POP.TOTL,Norway,NOR,5519594
"Population, total",SP.POP.TOTL,Oman,OMN,4644384
"Population, total",SP.POP.TOTL,Pakistan,PAK,240485658
"Population, total",SP.POP.TOTL,Palau,PLW,18058
"Population, total",SP.POP.TOTL,Panama,PAN,4468087
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,10329931
"Population, total",SP.POP.TOTL,Paraguay,PRY,6861524
"Population, total",SP.POP.TOTL,Peru,PER,34352719
"Population, total",SP.POP.TOTL,Philippines,PHL,117337368
"Population, total",SP.POP.TOTL,Poland,POL,36685849
"Population, total",SP.POP.TOTL,Portugal,PRT,10525347
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3205691
"Population, total",SP.POP.TOTL,Qatar,QAT,2716391
"Population, total",SP.POP.TOTL,Romania,ROU,19056116
"Population, total",SP.POP.TOTL,Russian Federation,RUS,143826130
"Population, total",SP.POP.TOTL,Rwanda,RWA,14094683
"Population, total",SP.POP.TOTL,Samoa,WSM,225681
"Population, total",SP.POP.TOTL,San Marino,SMR,33642
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,231856
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,36947025
"Population, total",SP.POP.TOTL,Senegal,SEN,17763163
"Population, total",SP.POP.TOTL,Serbia,SRB,6618026
"Population, total",SP.POP.TOTL,Seychelles,SYC,119773
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,8791092
"Population, total",SP.POP.TOTL,Singapore,SGP,5917648
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,41163
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5426740
"Population, total",SP.POP.TOTL,Slovenia,SVN,2120937
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,740424
"Population, total",SP.POP.TOTL,Somalia,SOM,18143378
"Population, total",SP.POP.TOTL,South Africa,ZAF,60414495
"Population, total",SP.POP.TOTL,South Sudan,SSD,11088796
"Population, total",SP.POP.TOTL,Spain,ESP,48373336
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,22037000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47755
"Population, total",SP.POP.TOTL,St. Lucia,LCA,180251
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,32077
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,103698
"Population, total",SP.POP.TOTL,Sudan,SDN,48109006
"Population, total",SP.POP.TOTL,Suriname,SUR,623236
"Population, total",SP.POP.TOTL,Sweden,SWE,10536632
"Population, total",SP.POP.TOTL,Switzerland,CHE,8849852
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,23227014
"Population, total",SP.POP.TOTL,Tajikistan,TJK,10143543
"Population, total",SP.POP.TOTL,Tanzania,TZA,67438106
"Population, total",SP.POP.TOTL,Thailand,THA,71801279
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1360596
"Population, total",SP.POP.TOTL,Togo,TGO,9053799
"Population, total",SP.POP.TOTL,Tonga,TON,107773
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1534937
"Population, total",SP.POP.TOTL,Tunisia,TUN,12458223
"Population, total",SP.POP.TOTL,Turkiye,TUR,85326000
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6516100
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,46062
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11396
"Population, total",SP.POP.TOTL,Uganda,UGA,48582334
"Population, total",SP.POP.TOTL,Ukraine,UKR,37000000
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9516871
"Population, total",SP.POP.TOTL,United Kingdom,GBR,68350000
"Population, total",SP.POP.TOTL,United States,USA,334914895
"Population, total",SP.POP.TOTL,Uruguay,URY,3423108
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,36412350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,334506
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28838499
"Population, total",SP.POP.TOTL,Viet Nam,VNM,98858950
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,104917
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,5165775
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,34449825
"Population, total",SP.POP.TOTL,Zambia,ZMB,20569737
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,16665409
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,739108306
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,502789511
"Population, total",SP.POP.TOTL,Arab World,ARB,473272080
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,3167738
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,100156608
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3486290439
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2380601170
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2133652241
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2107522258
"Population, total",SP.POP.TOTL,Euro area,EMU,350357398
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,923929755
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,247474425
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,457326090
"Population, total",SP.POP.TOTL,European Union,EUU,449476878
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,1042703808
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,907995430
"Population, total",SP.POP.TOTL,High income,HIC,1403021503
"Population, total",SP.POP.TOTL,IBRD only,IBD,4937047867
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6819750360
"Population, total",SP.POP.TOTL,IDA blend,IDB,622553200
"Population, total",SP.POP.TOTL,IDA only,IDX,1260149293
"Population, total",SP.POP.TOTL,IDA total,IDA,1882702493
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2326833223
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,664155299
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,600825676
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,648763330
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,1150346774
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6593137026
"Population, total",SP.POP.TOTL,Low income,LIC,722984063
"Population, total",SP.POP.TOTL,Lower middle income,LMC,3059564861
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,500787313
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,430857111
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,425691336
"Population, total",SP.POP.TOTL,Middle income,MIC,5870152963
"Population, total",SP.POP.TOTL,North America,NAC,375076145
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1385005653
"Population, total",SP.POP.TOTL,Other small states,OSS,14240737
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2677728
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1119478514
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,1065710613
"Population, total",SP.POP.TOTL,Small states,SST,20086203
"Population, total",SP.POP.TOTL,South Asia,SAS,1938549529
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1938549529
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1241897817
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1241778044
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1241897817
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2810588102
"Population, total",SP.POP.TOTL,World,WLD,8024997028
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 06/28/2024,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,License URL
SP.POP.TOTL,CC BY-4.0,"Population, total","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.",(1) United Nations Population Division. World Population Prospects: 2022 Revision; (2) Statistical databases and publications from national statistical offices; (3) Eurostat: Demographic Statistics; (4) United Nations Statistics Division. Population and Vital Statistics Reprot (various years).,Health: Population: Structure,Annual,Sum,"Population estimates are usually based on national population censuses, and estimates of fertility, mortality and migration.

Errors and undercounting in census occur even in high-income countries.  In developing countries errors may be substantial because of limits in the transport, communications, and other resources required to conduct and analyze a full census.

The quality and reliability of official demographic data are also affected by public trust in the government, government commitment to full and accurate enumeration, confidentiality and protection against misuse of census data, and census agencies' independence from political influence. Moreover, comparability of population indicators is limited by differences in the concepts, definitions, collection procedures, and estimation methods used by national statistical agencies and other organizations that collect the data.

The currentness of a census and the availability of complementary data from surveys or registration systems are objective ways to judge demographic data quality. Some European countries' registration systems offer complete information on population in the absence of a census.

The United Nations Statistics Division monitors the completeness of vital registration systems. Some developing countries have made progress over the last 60 years, but others still have deficiencies in civil registration systems.

International migration is the only other factor besides birth and death rates that directly determines a country's population change. Estimating migration is difficult. At any time many people are located outside their home country as tourists, workers, or refugees or for other reasons. Standards for the duration and purpose of international moves that qualify as migration vary, and estimates require information on flows into and out of countries that is difficult to collect.

Population projections, starting from a base year are projected forward using assumptions of mortality, fertility, and migration by age and sex through 2050, based on the UN Population Division's World Population Prospects database medium variant.","Increases in human population, whether as a result of immigration or more births than deaths, can impact natural resources and social infrastructure.  This can place pressure on a country's sustainability.  A significant growth in population will negatively impact the availability of land for agricultural production, and will aggravate demand for food, energy, water, social services, and infrastructure. On the other hand, decreasing population size - a result of fewer births than deaths, and people moving out of a country - can impact a government's commitment to maintain services and infrastructure.","Current population estimates for developing countries that lack (i) reliable recent census data, and (ii) pre- and post-census estimates for countries with census data, are provided by the United Nations Population Division and other agencies. 

The cohort component method - a standard method for estimating and projecting population - requires fertility, mortality, and net migration data, often collected from sample surveys, which can be small or limited in coverage. Population estimates are from demographic modeling and so are susceptible to biases and errors from shortcomings in both the model and the data.

Because future trends cannot be known with certainty, population projections have a wide range of uncertainty.",Relevance to gender indicator: disaggregating the population composition by gender will help a country in projecting its demand for social services on a gender basis.,https://datacatalog.worldbank.org/public-licenses#cc-by
