Country,Country Code,2022 Mobile cellular subscriptions,Cell Indicator Name,#_x,"Population
(2024)","Yearly
Change","Net
Change","Density
(P/Km²)","Land Area
(Km²)","Migrants
(net)","Fert.
Rate","Med.
Age","Urban
Pop %","World
Share",#_y,"GDP
(nominal, 2022)","GDP
(abbrev.)","GDP
growth","Population
(2022)","GDP
per capita","Share of
World GDP",Calculated Density (P/Km²)
Brazil,BRA,212925716.0,Mobile cellular subscriptions,7.0,211998573.0,0.41 %,"857,844",25,8358140.0,"-225,510",1.6,34.0,91 %,2.60 %,11.0,"$1,920,100,000,000",$1.920 trillion,2.90%,"210,306,415","$9,130",1.91%,25.364324239603548
Barbados,BRB,323482.0,Mobile cellular subscriptions,186.0,282467.0,0.05 %,131,657,430.0,-70,1.7,39.0,32 %,0.00 %,147.0,"$5,637,914,515",$5.64 billion,10.00%,"282,318","$19,970",0.01%,656.9
Brunei Darussalam,BRN,528723.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,742493.0,Mobile cellular subscriptions,166.0,791524.0,0.65 %,"5,139",21,38117.0,-277,1.4,30.0,49 %,0.01 %,,,,,,,,20.765642626649527
Botswana,BWA,4348010.0,Mobile cellular subscriptions,146.0,2521139.0,1.65 %,"40,895",4,566730.0,"-5,778",2.7,23.0,75 %,0.03 %,113.0,"$20,352,322,157",$20.35 billion,5.78%,"2,439,892","$8,341",0.02%,4.448571630229562
Central African Republic,CAF,,Mobile cellular subscriptions,122.0,5330690.0,3.46 %,"178,269",9,622980.0,"-15,357",6.0,14.0,44 %,0.07 %,158.0,"$2,382,618,615",$2.38 billion,0.00%,"5,098,039",$467,0.00%,8.556759446531188
Canada,CAN,35082123.0,Mobile cellular subscriptions,38.0,39742430.0,1.13 %,"443,325",4,9093510.0,"368,599",1.3,40.0,80 %,0.49 %,9.0,"$2,139,840,000,000",$2.140 trillion,3.40%,"38,821,259","$55,120",2.13%,4.370416923718124
Central Europe and the Baltics,CEB,130269278.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,10450200.0,Mobile cellular subscriptions,101.0,8921981.0,0.58 %,"51,420",226,39516.0,"40,099",1.4,43.0,74 %,0.11 %,20.0,"$807,706,000,000",$808 billion,2.06%,"8,792,182","$91,866",0.80%,225.78148091912138
Channel Islands,CHI,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Chile,CHL,26415114.0,Mobile cellular subscriptions,66.0,19764771.0,0.54 %,"105,936",27,743532.0,"58,316",1.1,36.0,85 %,0.24 %,45.0,"$301,025,000,000",$301 billion,2.44%,"19,553,036","$15,395",0.30%,26.58227352689595
China,CHN,1780613000.0,Mobile cellular subscriptions,2.0,1419321278.0,-0.23 %,"-3,263,655",151,9388211.0,"-318,992",1.0,40.0,66 %,17.39 %,2.0,"$17,963,200,000,000",$17.963 trillion,2.99%,"1,425,179,569","$12,604",17.86%,151.1812290967896
Cote d'Ivoire,CIV,49006419.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,23106995.0,Mobile cellular subscriptions,52.0,29123744.0,2.65 %,"751,057",62,472710.0,"-13,892",4.3,18.0,59 %,0.36 %,92.0,"$44,341,646,509",$44.34 billion,3.54%,"27,632,771","$1,605",0.04%,61.61017114086861
"Congo, Dem. Rep.",COD,49844134.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Colombia,COL,80812165.0,Mobile cellular subscriptions,28.0,52886363.0,1.08 %,"565,211",48,1109500.0,"141,643",1.6,32.0,81 %,0.65 %,43.0,"$343,939,000,000",$344 billion,7.50%,"51,737,944","$6,648",0.34%,47.66684362325372
Comoros,COM,838768.0,Mobile cellular subscriptions,163.0,866628.0,1.91 %,"16,241",466,1861.0,"-2,051",3.8,21.0,33 %,0.01 %,167.0,"$1,242,519,407",$1.24 billion,2.39%,"834,188","$1,489",0.00%,465.67866738312733
Cabo Verde,CPV,588593.0,Mobile cellular subscriptions,175.0,524877.0,0.49 %,"2,546",130,4030.0,"-1,209",1.5,28.0,78 %,0.01 %,159.0,"$2,314,816,792",$2.31 billion,17.71%,"519,741","$4,454",0.00%,130.2424317617866
Costa Rica,CRI,7876163.0,Mobile cellular subscriptions,127.0,5129910.0,0.48 %,"24,385",100,51060.0,967,1.3,35.0,84 %,0.06 %,81.0,"$68,380,838,316",$68.38 billion,4.31%,"5,081,765","$13,456",0.07%,100.46827262044653
Caribbean small states,CSS,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Cuba,CUB,7600092.0,Mobile cellular subscriptions,87.0,10979783.0,-0.36 %,"-40,148",103,106440.0,"-22,356",1.4,42.0,81 %,0.13 %,,,,,,,,103.15466929725667
Curacao,CUW,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,Mobile cellular subscriptions,203.0,74457.0,1.94 %,"1,419",310,240.0,896,1.5,38.0,90 %,0.00 %,,,,,,,,310.2375
Cyprus,CYP,1392480.0,Mobile cellular subscriptions,157.0,1358282.0,0.99 %,"13,306",147,9240.0,"8,138",1.4,38.0,61 %,0.02 %,103.0,"$28,439,052,741",$28.44 billion,5.63%,"1,331,370","$21,361",0.03%,147.00021645021644
Czechia,CZE,13475347.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Germany,DEU,104400000.0,Mobile cellular subscriptions,19.0,84552242.0,0.00 %,"4,011",243,348560.0,"36,954",1.4,45.0,76 %,1.04 %,4.0,"$4,072,190,000,000",$4.072 trillion,1.79%,"84,086,227","$48,429",4.05%,242.57586068395685
Djibouti,DJI,519258.0,Mobile cellular subscriptions,160.0,1168722.0,1.37 %,"15,778",50,23180.0,-11,2.6,25.0,71 %,0.01 %,,,,,,,,50.41941328731665
Dominica,DMA,,Mobile cellular subscriptions,204.0,66205.0,-0.46 %,-305,88,750.0,-200,1.5,36.0,83 %,0.00 %,172.0,"$612,048,148",$612 million,5.94%,"66,826","$9,159",0.00%,88.27333333333333
Denmark,DNK,7443962.0,Mobile cellular subscriptions,114.0,5977412.0,0.49 %,"29,276",141,42430.0,"25,639",1.5,41.0,87 %,0.07 %,39.0,"$395,404,000,000",$395 billion,3.82%,"5,902,904","$66,985",0.39%,140.87702097572472
Dominican Republic,DOM,10149890.0,Mobile cellular subscriptions,85.0,11427557.0,0.85 %,"96,292",236,48320.0,"-34,806",2.2,28.0,86 %,0.14 %,64.0,"$113,642,000,000",$114 billion,4.86%,"11,230,734","$10,119",0.11%,236.49745447019868
Algeria,DZA,49018766.0,Mobile cellular subscriptions,33.0,46814308.0,1.41 %,"650,089",20,2381740.0,"-31,240",2.7,28.0,74 %,0.57 %,55.0,"$191,913,000,000",$192 billion,3.10%,"45,477,389","$4,220",0.19%,19.655507318179147
East Asia & Pacific (excluding high income),EAP,2659481463.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,3173151571.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,3041651846.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,255742751.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,1151388791.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,17490751.0,Mobile cellular subscriptions,72.0,18135478.0,0.86 %,"155,395",73,248360.0,"-19,704",1.8,29.0,65 %,0.22 %,62.0,"$115,049,000,000",$115 billion,2.95%,"17,823,897","$6,455",0.11%,73.02092929618296
"Egypt, Arab Rep.",EGY,103449734.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Euro area,EMU,424057862.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,,Mobile cellular subscriptions,132.0,3535603.0,1.88 %,"65,213",35,101000.0,"-12,696",3.7,19.0,74 %,0.04 %,,,,,,,,35.005970297029705
Spain,ESP,59019998.0,Mobile cellular subscriptions,32.0,47910526.0,0.00 %,"-1,053",96,498800.0,"111,674",1.2,45.0,79 %,0.59 %,15.0,"$1,397,510,000,000",$1.398 trillion,5.45%,"47,828,382","$29,219",1.39%,96.05157578187651
Estonia,EST,2055794.0,Mobile cellular subscriptions,156.0,1360546.0,-0.49 %,"-6,650",32,42390.0,"-7,742",1.4,42.0,66 %,0.02 %,97.0,"$38,100,812,959",$38.10 billion,-1.29%,"1,350,091","$28,221",0.04%,32.09591884878509
Ethiopia,ETH,69123028.0,Mobile cellular subscriptions,10.0,132059767.0,2.62 %,"3,368,075",132,1000000.0,"30,069",3.9,19.0,22 %,1.62 %,60.0,"$126,783,000,000",$127 billion,5.32%,"125,384,287","$1,011",0.13%,132.059767
European Union,EUU,552315605.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,676998098.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Finland,FIN,7130000.0,Mobile cellular subscriptions,117.0,5617310.0,0.29 %,"16,125",18,303890.0,"26,894",1.3,43.0,86 %,0.07 %,47.0,"$280,826,000,000",$281 billion,2.08%,"5,569,299","$50,424",0.28%,18.484681957287176
Fiji,FJI,,Mobile cellular subscriptions,161.0,928784.0,0.50 %,"4,639",51,18270.0,"-3,278",2.3,28.0,60 %,0.01 %,148.0,"$4,943,248,200",$4.94 billion,16.12%,"919,422","$5,376",0.00%,50.83656267104543
France,FRA,76807000.0,Mobile cellular subscriptions,23.0,66548530.0,0.17 %,"109,708",122,547557.0,"90,527",1.6,42.0,82 %,0.82 %,7.0,"$2,782,910,000,000",$2.783 trillion,2.56%,"66,277,409","$41,989",2.77%,121.5371732988529
Faroe Islands,FRO,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Gabon,GAB,2995487.0,Mobile cellular subscriptions,145.0,2538952.0,2.18 %,"54,163",10,257670.0,"1,105",3.6,22.0,84 %,0.03 %,111.0,"$21,071,739,228",$21.07 billion,3.04%,"2,430,747","$8,669",0.02%,9.8535025420111
United Kingdom,GBR,81563700.0,Mobile cellular subscriptions,21.0,69138192.0,0.66 %,"455,230",286,241930.0,"417,114",1.6,40.0,84 %,0.85 %,6.0,"$3,070,670,000,000",$3.071 trillion,4.10%,"68,179,315","$45,038",3.05%,285.7776712272145
Georgia,GEO,5844482.0,Mobile cellular subscriptions,131.0,3807670.0,0.00 %,178,55,69490.0,"1,745",1.8,37.0,62 %,0.05 %,107.0,"$24,605,375,420",$24.61 billion,10.11%,"3,794,784","$6,484",0.02%,54.79450280615916
Ghana,GHA,40045308.0,Mobile cellular subscriptions,46.0,34427414.0,1.89 %,"639,500",151,227540.0,"-13,114",3.3,21.0,58 %,0.42 %,75.0,"$72,838,798,788",$72.84 billion,3.24%,"33,149,152","$2,197",0.07%,151.3026896369869
Gibraltar,GIB,36708.0,Mobile cellular subscriptions,215.0,39329.0,2.23 %,858,"3,933",10.0,598,1.9,39.0,90 %,0.00 %,,,,,,,,3932.9
Guinea,GIN,,Mobile cellular subscriptions,75.0,14754785.0,2.42 %,"349,317",60,245720.0,"-12,024",4.1,18.0,40 %,0.18 %,110.0,"$21,227,749,389",$21.23 billion,4.70%,"14,055,137","$1,510",0.02%,60.047147159368386
"Gambia, The",GMB,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,2651591.0,Mobile cellular subscriptions,148.0,2201352.0,2.23 %,"48,013",78,28120.0,"-1,712",3.8,19.0,46 %,0.03 %,163.0,"$1,633,559,092",$1.63 billion,3.50%,"2,105,529",$776,0.00%,78.28421052631579
Equatorial Guinea,GNQ,893441.0,Mobile cellular subscriptions,150.0,1892516.0,2.43 %,"44,967",67,28050.0,"3,891",4.1,21.0,63 %,0.02 %,140.0,"$11,813,908,448",$11.81 billion,3.15%,"1,803,545","$6,550",0.01%,67.469376114082
Greece,GRC,11326179.0,Mobile cellular subscriptions,95.0,10047817.0,-1.90 %,"-195,091",78,128900.0,"-122,772",1.3,46.0,88 %,0.12 %,54.0,"$219,066,000,000",$219 billion,5.91%,"10,412,480","$21,039",0.22%,77.95048099301785
Grenada,GRD,,Mobile cellular subscriptions,195.0,117207.0,0.11 %,126,345,340.0,-192,1.5,34.0,35 %,0.00 %,166.0,"$1,256,413,185",$1.26 billion,5.80%,"116,913","$10,747",0.00%,344.7264705882353
Greenland,GRL,,Mobile cellular subscriptions,206.0,55840.0,-0.15 %,-82,0,410450.0,-284,1.9,35.0,90 %,0.00 %,,,,,,,,0.13604580338652697
Guatemala,GTM,20552979.0,Mobile cellular subscriptions,70.0,18406359.0,1.55 %,"281,521",172,107160.0,"-7,725",2.3,23.0,56 %,0.23 %,67.0,"$95,003,333,381",$95.00 billion,4.12%,"17,847,877","$5,323",0.09%,171.76520156774916
Guam,GUM,,Mobile cellular subscriptions,192.0,167777.0,0.76 %,"1,271",311,540.0,-504,2.7,31.0,99 %,0.00 %,,,,,,,,310.69814814814816
Guyana,GUY,,Mobile cellular subscriptions,164.0,831087.0,0.57 %,"4,734",4,196850.0,"-5,407",2.4,26.0,27 %,0.01 %,128.0,"$15,357,537,068",$15.36 billion,57.80%,"821,637","$18,691",0.02%,4.221930403860807
High income,HIC,1834460164.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,21860771.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Honduras,HND,7937385.0,Mobile cellular subscriptions,88.0,10825703.0,1.70 %,"180,852",97,111890.0,"-4,821",2.5,24.0,58 %,0.13 %,99.0,"$31,717,700,115",$31.72 billion,4.00%,"10,463,872","$3,031",0.03%,96.75308785414246
Heavily indebted poor countries (HIPC),HPC,550042811.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Croatia,HRV,4480469.0,Mobile cellular subscriptions,130.0,3875325.0,-0.53 %,"-20,698",69,55960.0,"-5,186",1.5,45.0,61 %,0.05 %,78.0,"$70,964,606,465",$70.96 billion,6.33%,"3,907,027","$18,163",0.07%,69.25169764117227
Haiti,HTI,,Mobile cellular subscriptions,82.0,11772557.0,1.16 %,"135,159",427,27560.0,"-31,747",2.6,24.0,61 %,0.14 %,114.0,"$20,253,551,885",$20.25 billion,-1.68%,"11,503,606","$1,761",0.02%,427.1609941944848
Hungary,HUN,10371597.0,Mobile cellular subscriptions,96.0,9676135.0,-0.11 %,"-10,328",107,90530.0,"16,223",1.5,44.0,72 %,0.12 %,57.0,"$178,789,000,000",$179 billion,4.58%,"9,684,306","$18,462",0.18%,106.88318789351597
IBRD only,IBD,5508645881.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,6889075559.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
IDA total,IDA,1380429678.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,557481973.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,316552572.0,Mobile cellular subscriptions,4.0,283487931.0,0.82 %,"2,297,864",156,1811570.0,"-38,469",2.1,30.0,59 %,3.47 %,16.0,"$1,319,100,000,000",$1.319 trillion,5.31%,"278,830,529","$4,731",1.31%,156.4874285840459
IDA only,IDX,822947705.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,,Mobile cellular subscriptions,201.0,84160.0,-0.01 %,-5,148,570.0,177,1.5,46.0,56 %,0.00 %,,,,,,,,147.64912280701753
India,IND,1142930000.0,Mobile cellular subscriptions,1.0,1450935791.0,0.89 %,"12,866,195",488,2973190.0,"-630,830",2.0,28.0,37 %,17.78 %,5.0,"$3,385,090,000,000",$3.385 trillion,7.00%,"1,425,423,212","$2,375",3.37%,488.00641432266355
Not classified,INX,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Ireland,IRL,5690017.0,Mobile cellular subscriptions,124.0,5255017.0,1.12 %,"58,387",76,68890.0,"39,059",1.6,39.0,62 %,0.06 %,26.0,"$529,245,000,000",$529 billion,11.97%,"5,110,016","$103,570",0.53%,76.28127449557265
"Iran, Islamic Rep.",IRN,145667536.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,43688180.0,Mobile cellular subscriptions,34.0,46042015.0,2.15 %,"967,966",106,434320.0,"-17,735",3.2,21.0,72 %,0.56 %,48.0,"$264,182,000,000",$264 billion,7.01%,"44,070,551","$5,995",0.26%,106.00942853195801
Iceland,ISL,456864.0,Mobile cellular subscriptions,179.0,393396.0,1.51 %,"5,838",4,100250.0,"3,543",1.5,36.0,84 %,0.00 %,105.0,"$27,841,648,044",$27.84 billion,6.44%,"380,356","$73,199",0.03%,3.9241496259351623
Israel,ISR,13758317.0,Mobile cellular subscriptions,98.0,9387021.0,1.41 %,"130,707",434,21640.0,"10,612",2.8,29.0,91 %,0.12 %,27.0,"$522,033,000,000",$522 billion,6.46%,"9,103,151","$57,346",0.52%,433.78100739371536
Italy,ITA,78502853.0,Mobile cellular subscriptions,25.0,59342867.0,-0.26 %,"-156,586",202,294140.0,"95,246",1.2,48.0,72 %,0.73 %,10.0,"$2,010,430,000,000",$2.010 trillion,3.67%,"59,619,115","$33,721",2.00%,201.75041476847758
Jamaica,JAM,3002736.0,Mobile cellular subscriptions,142.0,2839175.0,-0.02 %,-611,262,10830.0,"-10,506",1.4,32.0,60 %,0.03 %,123.0,"$17,097,760,745",$17.10 billion,4.20%,"2,839,144","$6,022",0.02%,262.1583564173592
Jordan,JOR,7625635.0,Mobile cellular subscriptions,84.0,11552876.0,0.99 %,"113,663",130,88780.0,"-156,369",2.6,25.0,84 %,0.14 %,87.0,"$47,451,499,859",$47.45 billion,2.50%,"11,256,263","$4,216",0.05%,130.1292633476008
Japan,JPN,207647788.0,Mobile cellular subscriptions,12.0,123753041.0,-0.50 %,"-617,906",339,364555.0,"153,357",1.2,49.0,93 %,1.52 %,3.0,"$4,231,140,000,000",$4.231 trillion,1.03%,"124,997,578","$33,850",4.21%,339.46329360453154
Kazakhstan,KAZ,25299000.0,Mobile cellular subscriptions,64.0,20592571.0,1.29 %,"262,467",8,2699700.0,"-7,368",3.0,30.0,55 %,0.25 %,53.0,"$220,623,000,000",$221 billion,3.20%,"20,034,609","$11,012",0.22%,7.627725673222951
Kenya,KEN,65737164.0,Mobile cellular subscriptions,26.0,56432944.0,1.98 %,"1,093,941",99,569140.0,"-19,781",3.2,20.0,31 %,0.69 %,65.0,"$113,420,000,000",$113 billion,4.85%,"54,252,461","$2,091",0.11%,99.154766841199
Kyrgyz Republic,KGZ,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,19505294.0,Mobile cellular subscriptions,73.0,17638801.0,1.23 %,"214,921",100,176520.0,"-32,960",2.5,26.0,26 %,0.22 %,101.0,"$29,956,769,529",$29.96 billion,5.16%,"17,201,724","$1,741",0.03%,99.92522660321777
Kiribati,KIR,64076.0,Mobile cellular subscriptions,193.0,134518.0,1.50 %,"1,988",166,810.0,-471,3.1,23.0,57 %,0.00 %,176.0,"$223,352,943",$223 million,1.56%,"130,469","$1,712",0.00%,166.0716049382716
St. Kitts and Nevis,KNA,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,76992107.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,7726449.0,Mobile cellular subscriptions,128.0,4934507.0,1.98 %,"95,725",277,17820.0,"61,624",1.5,35.0,92 %,0.06 %,56.0,"$184,558,000,000",$185 billion,8.18%,"4,589,511","$40,213",0.18%,276.9083613916947
Latin America & Caribbean (excluding high income),LAC,619206648.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,,Mobile cellular subscriptions,116.0,5805962.0,0.56 %,"32,469",568,10230.0,"-17,267",2.2,29.0,88 %,0.07 %,,,,,,,,567.5427174975562
Liberia,LBR,,Mobile cellular subscriptions,118.0,5612817.0,2.18 %,"119,786",58,96320.0,"-7,779",3.9,19.0,54 %,0.07 %,150.0,"$4,001,047,150",$4.00 billion,4.81%,"5,373,294",$745,0.00%,58.27260174418605
Libya,LBY,13940000.0,Mobile cellular subscriptions,106.0,7381023.0,1.03 %,"75,364",4,1759540.0,"3,448",2.3,27.0,77 %,0.09 %,89.0,"$45,752,336,036",$45.75 billion,-1.24%,"7,223,805","$6,334",0.05%,4.194859451902202
